,Question,Rep,type
0,Nuisible,detrimental,voc
1,Malencontreux,unfortunate,voc
2,Inadapté,"unsuitable, inappropriate, inadequate",voc
3,Mal conçu,ill-conceived,voc
4,Mal pensu,ill-advised,voc
5,facheux,unwelcome,voc
6,immoral,"unethical, immoral",voc
7,qui ne fonctionne pas,defective,voc
8,déficient,deficient,voc
9,malsain (chose),unhealthy,voc
10,malsain (personne),"unscrupulous, evil-minded, dishonest",voc
11,inefficace,"inefficient, ineffective",voc
12,"peu pertinent, hors de propos",irrelevant,voc
13,inutile,useless,voc
14,insignifiant,insignificant,voc
15,déplaisant,"unpleasant, disagreeable",voc
16,pas durable,unsustainable,voc
17,irréfléchi,short-sighted,voc
18,faible,weak,voc
19,rebutant,off-putting,voc
20,bénéfique,"beneficial, advantageous, gainful, profitable",voc
21,utile,"helpful, useful ",voc
22,approprié,"suitable, appropriate",voc
23,durable,sustainable,voc
24,pérenne,long-lasting,voc
25,sain,"healthy, fit",voc
26,solide,"robust, sturdy",voc
27,agréable,"pleasant, agreeable, satisfying",voc
28,amusant,entertaining,voc
29,fiable,reliable,voc
30,à la hauteur,"up to par, up to standard",voc
31,remarquable (chose),"remarkable, outstanding",voc
32,remarquable (personne),"honourable, respectable, upstanding, trustworthy",voc
33,"vrai, véridique",truthful,voc
34,pertinent,relevant,voc
35,exact,accurate,voc
36,sans danger,"safe, harmless",voc
37,significatif,meaningful,voc
38,impressionnant,impressive,voc
39,simple et net,clear-cut,voc
40,simple et direct,straightforward,voc
41,révolutionnaire,groundbreaking,voc
42,travailleur,hardworking,voc
43,les pieds sur terre,down-to-earth,voc
44,juste,fair,voc
45,impartial,unbiased,voc
46,équilibré,balanced,voc
47,expérimenté,"skilled, talented, experienced",voc
48,entraîné,trained,voc
49,dernier cri,state-of-the-art,voc
50,remarquable,"striking, noteworthy",voc
51,digne d'éloges,praiseworthy,voc
52,convaincant,convincing,voc
53,prometteur,"promising, encouraging",voc
54,florissant,flourishing,voc
55,prospère,thriving,voc
56,qui a de la réussite,successful,voc
57,de pointe,cutting-edge,voc
58,performant,high-performing,voc
59,stupéfiant,staggering,voc
60,majeur,"key, major",voc
61,une compagnie leader,a leading firm,voc
62,d'importance majeur,of paramount importance,voc
63,qui a de la valeur,valuable,voc
64,qui a le bras long (avoir des relations),well-connected,voc
65,rigoureux,stringent,voc
66,de haut rang,high-ranking,voc
67,puissant,powerful,voc
68,influent,influential,voc
69,principal,main,voc
70,fondamental,"fundamental, crucial",voc
71,significatif,significant,voc
72,de poids ,weighty,voc
73,mondialement ,worldwide,voc
74,de taille (figuré),tremendous,voc
75,de taille ,sizable,voc
76,pour autant que je sois concerné,as far as I am concerned ,voc
77,en guise de conclusion je dirais ,as a conclusion I would say ,voc
78,selon moi ,in my view,voc
79,pour ma part ,as for me ,voc
80,je plaide en faveur de,I argue ,voc
81,je crois,I believe,voc
82,je suggère,I suggest,voc
83,je trouve ,I find,voc
84,ma réaction est ,my reaction is ,voc
85,j'éprouve ,I feel,voc
86,une réforme de large envergure,a sweeping reform,voc
87,une chute,a sharp drop/decline,voc
88,la grande majorité ,the vast majority,voc
89,une somme importante,a hefty sum,voc
90,une priorité essentielle,a top priority,voc
91,des mesures sévères,tough measures,voc
92,un emploi à salaire élevé ,a high-paying job,voc
93,un bel avenir ,a bright future,voc
94,des mesures radicales,drastic measures,voc
95,une critique constructive,constructive criticism,voc
96,une victoire écrasante,an overwhelming victory,voc
97,un partisan convaincu de ,a staunch supporter of ,voc
98,une entreprise en plein essor ,a booming business,voc
99,des perspectives prometteuses ,rosy prospects ,voc
100,un exemple parlant,a telling example ,voc
101,un argument très convaincant,a compelling point ,voc
102,un problème endémique,a rampant problem,voc
103,un travail à bas salaire,a low-wage job,voc
104,travailleur non-qualifié,unskilled labour,voc
105,une critique mordante,scathing criticism,voc
106,les dures réalités de ,the harsh realities of ,voc
107,qui attise la peur,fearmongering,voc
108,concurrence acharnée,cut-throat competition,voc
109,une défaite écrasante,a crushing defeat,voc
110,en difficulté,a struggling business,voc
111,une réaction molle,a weak response,voc
112,être sujet de discussion ,to be food for debate,voc
113,matière à réflexion ,food for thought ,voc
114,résister à la tendance,to buck the trend,voc
115,être passé de mode,to be a thing of the past,voc
116,être entré dans les moeurs ,to be here to stay ,voc
117,cela remonte à l'origine de ,it may be traced back to ,voc
118,prendre conscience de ce que ,to wake up to the fact that ,voc
119,sensibiliser l'opinion publique à ,to raise awareness to ,voc
120,diffuser l'information sur ,to spread the word about sth ,voc
121,comprendre pleinement ,to grasp sth fully ,voc
122,il en va de même pour ,the same goes for ,voc
123,cette idée ne résiste pas à l'analyse,this idea doesn't stand up to analysis,voc
124,être un excellent exemple ,to be a case in point ,voc
125,c'est la grande inconnue ,it's anyone's guess,voc
126,ce n'est qu'un rêve incensé,it's just a pipe dream,voc
127,être impuissant face à,to be helpless when faced with,voc
128,être partagé au sujet de ,to have mixed feelings about,voc
129,il y a deux façons de voir les chosess,there are two ways of looking at this,voc
130,être du même avis,to take the same view,voc
131,être d'un autre avis ,to take a different view,voc
132,cela prouve bien que ,it goes to show that ,voc
133,pour parler franchement ,the truth of the matter is that ,voc
134,servir de leçon à ,to teach someone a lesson ,voc
135,la chose essentielle à retenir est que ,the one thing to remember is that ,voc
136,il y a tout avantage à ,there is a lot to be said for ,voc
137,ce que l'avenir réserve à ,to be in store for ,voc
138,déraper,to get out of hand ,voc
139,s'avouer vaincu ,to admit defeat ,voc
140,relativiser qqc,to put sth into perspective ,voc
141,être diamétralement opposé ,to be poles apart,voc
142,ne pas se mêler d'un problème,to wash one's hands of something ,voc
143,être la dernière goutte ,to be the last straw,voc
144,il y a urgence ! ,the clock is ticking ! ,voc
145,"arrêter le temps, revenir en arrière",to turn back the clock,voc
146,manquer de temps ,to run out of time ,voc
147,la perspective menaçante de ,the looming spectre of ,voc
148,une épée à double tranchant ,a double-edged sword ,voc
149,une solution miracle à ,a silver bullet for sth ,voc
150,trouver un juste équilibre ,to strike a proper balance ,voc
151,le juste milieu ,a happy medium ,voc
152,jouer les apprentis sorciers ,to play God (with ...),voc
153,n'être qu'un simple rouage dans le système ,to be a mere cog ine the machine ,voc
154,monter l'échelle sociale ,to climb the social ladder ,voc
155,monter l'échelle économique ,to climb the economic ladder ,voc
156,monter l'échelle de l'entreprise ,to climb de corporate ladder,voc
157,être au sommet de l'échelle sociale ,to be on the top rung of the social ladder ,voc
158,être au bas de l'échelle sociale ,to be on the bottom rung of the social ladder,voc
159,combler un écart,to bridge the gap,voc
160,élargir un écart ,to widen a gap,voc
161,un large écart entre ,a wide gap between,voc
162,un lien étroit entre ,a close link between,voc
163,franchir les barrières culturelles,to cross the cultural divide,voc
164,être sur un pied d'égalité ,to be on an equal footing,voc
165,le minimum vital ,the bare necessities of life ,voc
166,être mal en point ,to be in bad shape,voc
167,remettre les pendules à l'heure quand à qqc,to set the record straight on sth ,voc
168,un principe fondamental ,a core tenet,voc
169,une pierre angulaire de ,a cornerstone ,voc
170,un pilier de ,a pillar of ,voc
171,la dimension sacrée de ,the sanctify of ,voc
172,jouer un rôle clef dans ,to take an active part in / to play a major role in,voc
173,dépasser les limites de ,to overstep the boundaries of ,voc
174,être la chasse gardée de ,to be the preserve of ,voc
175,le retour de bâton ,the backlash,voc
176,pour le bien de ,for the sake of ,voc
177,du soir au matin ,from dawn to dusk ,voc
178,toute sa vie ,from cradle to grave ,voc
179,à bout ,to be led to the end of one's rope,voc
180,inacceptable,to be beyond the pale ,voc
181,faire la source oreille à ,to turn a blind eye to ,voc
182,tourner le dos à ,to turn one's back ON,voc
183,être profondément ancré dans ,to be deeply rooted in ,voc
184,un moment charnière ,a watershed moment ,voc
185,un tournant décisif ,a turning-point,voc
186,un point de bascule ,a tipping point ,voc
187,un point de repère ,a landmark,voc
188,un évènement majeur ,a milestone ,voc
